lexeme_id,orthography,lemma,glossing_label,class,attributive
1,бугъаз,buʁáz,neck,3,buʁázad
5,аIра,aˁrá,distance,4,aˁrijid
7,тIул,t'ul,rod,3,тулурды
8,бег̌,begʲ,side,3,begíd
