lexeme_id,orthography,lemma,glossing_label,PFV.3,IPFV.3,INF.3,IMP.3,PROH.3
2,къапхыр,ɢápχɨr,chop,ɢápχɨr,ɢawráχar,ɢápχas,ɢápχa,ɢamáwrɨχ
9,jíˁwχɨˁr,hit,"hit, kill",jíˁwχɨˁr,wɨrɨ́χaˁr,jíˁwχɨˁs,jɨ́ˁwχa ~ jɨ́ˁwχ,máˁwrɨχ
