lexeme_id	Lexical entry	Orthography	Glossing label	Gender	Attributive
n602	χɨládi	хылади	roof	4	χɨladid
n603	χɨlíjdɨ	хылийды	mitten	4	χɨlíjdid
n604	χɨnɨ́χ	хыных	child	1	χɨnχɨ́d
n605	χɨˁw	хыIв	udder	4	χɨˁwɨd
n606	χɨˁwáʔad	хыIваъад	yoke	4	NO DATA
n607	χɨˁl	хыIл	particle	4	χɨˁlɨjid
n608	χɨˁn	хыIн	faeces	4	χɨˁníd
n609	χɨˁr	хыIр	pear	3	χɨˁrɐ́jid
n610	xad	хьад	spring	4	xɨ́jid
n611	xaǯálat	хьаджалат	misfortune	4	xaǯalatad
n612	xal	хьал	footprint	3	xaléd
n613	xanx	хьанхь	gums	4	xanxmɨd
n614	xar	хьар	clay_stove_for_bread	3	xárad
n615	xač	хьач	blackberry	4	xačáldɨ
n616	xeb	хьеб	claw	3	xebɨ́rdɨ ~ xebɨ́ldɨ
n617	xed	хьед	water	4	xíjid
n618	xésɨm	хьесым	face	4	xésɨmad
n619	xexʲ	хьехьʼ	nose	3	xexíd
n620	xid	хьид	cow_dung	4	xidid
n621	xul	хьул	mildew	4	xulajid
n622	xum	хьум	smoke	4	xumád
n623	xur	хьур	raspberry	4	xurɐ́jid
n624	xɨw ~ xow ~ xuw	хьыв ~ хов ~ хув	bread	4	xɨwád
n625	xɨdɨ́ldɨ	хьыдылды	woman	2	xɨdɨnowdɨ
n626	xɨlán	хьылан	pitchfork	4	xɨlɨ́ndid
n627	xɨlí	хьыли	armful	4	xɨlijed
n628	xɨrɨ́s	хьырыс	broom	3	xɨrɨsid
n629	xɨt	хьыт	cartilage	4	xɨtɐjid
n630	xɨtʼ	хьытI	barley	3	xɨ́tʼad
n631	c’aj	цIай	fire	4	cʼíd
n632	c’ak’árak’	цIакIаракI	lizard1	3/4	c’ak’árak’ad
n633	c’ac’	цIацI	chukhta	3	c’ac’ɨ́ldɨ
n634	c’ihʲ	цIигь	she_goat	3	cʼihíd
n635	c’ik’ʲ	цIикIʼ	dog_puppy	3	cʼikʼíd
n636	c’ik’ʷ	цIикIʼв	skein	3	c’ik’ud
n637	c’ɨc’	цIыцI	grasshopper	4	cʼɨcʼɨ́rdɨ
n638	čaná	чана	jaw	4	čanájed
n639	čangál	чангал	fork	4	čangálad
n640	čapár	чапар	fence	4	čapárad
n642	čarχ	чарх	whetstone	4	čarχɨd
n643	čaχmáχ	чахмах	flint	4	čaχmaχad
n644	čaχɨ́r	чахыр	wine	4	čaχɨ́rad
n645	čejláʁ	чейлагъ	river_bank	4	čejlaʁad
n646	čemrá	чемра	fog	2/1	čemrɨ́jd
n647	čij	чий	dew	3/1	číjed
n648	čikmá	чикма	boot	3/1	čakmɨ́jid
n649	čul	чул	desert	4	čúldɨ
n650	čümčé	чуьмче	ladle	3	čümčijid
n651	čɨxár	чыхьар	mane	4	čɨxrad
n652	č’abál	чIабал	sheep	3	č’abɐ́led ~ čʼabled
n653	č’ank’	чIанкI	trap.n	4	č’ank’ad
n654	č’ar	чIар	hair	3	čʼarád
n655	č’aráq’aj	чIаракьай	shin	4	č’aráq’ajed
n656	č’at’	чIатI	little_span	NO DATA	NO DATA
n657	č’aˁɢɨn	чIаIкъын	step.n	4	NO DATA
n658	č’el	чIел	language	3	čʼíldɨ
n659	č’il	чIил	belt	3	čʼilɐ́jid
n660	č’inák’	чIинакI	scythe	3	čʼinkʼɨ́d
n661	č’ir	чIир	ground	4	čʼirɨ́d
n662	č’ub	чIуб	great_span	3	č’ubúd
n663	č’ul	чIул	willow	3	čʼúlɨrdɨ
n664	šagár	шагар	sugar	4	šagrád
n665	šahád	шагьад	witness	1	šahádad
n666	šalá	шала	burden1	3	šalɨ́jed
n667	šamdam	шамдам	candle	4	NO DATA
n668	šámkal	шамкал	spider	3	šámkaled
n669	šarák	шарак	chick	3	šarkád
n670	šʷet	швет	gadfly	3	šʷetírdɨ
n671	šéher	шегьер	city	3	šehérdid
n672	šésaj	шесай	young_heifer	3	šésajed
n673	šibílʲ	шибилʼ	gravel	4	NO DATA
n674	šídɨqʼ	шидыкь	mint	4	šidɨqʼad
n675	šíkɨl	шикыл	picture	3	šikɨlad
n676	šin	шин	sweat	4	NO DATA
n677	šint	шинт	bedbug	3	šintád
n678	šu	шу	brother	1	šud
n679	šurúk	шурук	bird	3	šurkúd
n680	ɨˁbrá	ыIбра	measuring_container	4	ɨˁbríjed
