lexeme_id	Orthography	Lexical entry	Glossing label	Coverbal form	Adverbial form
a112		taχsirkár(dɨ)	guilty	NO DATA	NO DATA
a113		ǯehíl	young2	ǯehil	ǯehilena
a114		kasíb	poor	kasib	kasibana
a115		qʼuwasɨ́z(dɨ)	weak	NO DATA	qʼuwasɨzna
a116		tambál(dɨ)	lazy	tambal	tambalana
a117		warlɨ́(d)	rich1	warlɨ	warlɨna
a118		maddɨ	other	NO DATA	NO DATA
a119		lejíχdɨ	suitable	lejiχ	NO FORM
a120		katχudá	rich2	NO DATA	NO DATA
a121		jawád	idle	jawa	jawana
