lexeme_id	Orthography	Lexical entry	Glossing label	Perfective, Gender 3	Imperfective, Gender 3	Infinitive, Gender 3	Imperative, Gender 3	Prohibitive, Gender 3
v82		lawɨrkɨr ~ lawkɨr ~ lówkɨr	PV-turn_around1	lawɨrkɨr ~ lawkɨr ~ lówkɨr	lawɨrkara ~ lowɨrkara	lawɨrkas ~ lówkas	lawɨrka	lamawrɨk
v83		láwɨrsɨr	PV-boil	láwɨrsɨr	láwɨrsara	láwɨrsas	Iáwɨrsa	lamówɨrs ~ lamówrɨs
v84		lawkɨr ~ lówkɨr	PV-turn_around2	lawkɨr ~ lówkɨr	lówɨrkɨra	lápkas ~ lówkas	lówɨrka	lamówɨrk
v85		léwɨχɨˁr	PV-plow	léwɨχɨˁr	léwɨrχaˁra	léwɨχaˁsɨ	léwχaˁ	lamáwrɨˁχ
v86		lépʼir	UP-pull	lépʼir	léwilera	lépʼes	lépʼe	leméwli
v87		lewigɨr ~ lewɨgɨr	PV-sew	lewigɨr ~ lewɨgɨr	léwirgara	léwirgas	léwiga	leméwrɨg
v88		léwčʼur	UP-move	léwčʼur	lébčʼura ~ lʲoˁwʁura	léwčʼus	léwičʼa	laˁmaˁwuʁʷ ~ lemewrüčʼ
v89		léwir	UP-let	léwir	lówχara	léwis	léwija	lamáwɨχ
v90		léwiqʼɨr	UP-reach	léwiqʼɨr	léwirqʼara	léwiqʼas	léwɨqʼa	leméwriqʼ
v91		léwšur	PV-take	léwšur	lépčura	léwšus	léwiša ~ léwša	lemebčʷ ~ lemebč
v92		lípxur	UP-fall	lípxur	líwirxura	lípxus	lípxʷa	limépxʷ
v93		liwšír	reap	liwšír	šiwílšera	šílšesɨ	šiwílše	šiméwliš
v94		lípq’ɨra	PV-ferment	lípq’ɨra	líwirq’ara ~ líwilqʼara	lípq’as	lípq’a	liméwriq’
v95		liwír	eat	liwír	wiʔílera	wiʔíles	wiʔíle	méwliʔ
v96		líwkʼur	PV-burn_light	líwkʼur	líwirkʼʷara	líwikʼʷas	líwkʼʷa	liméwrikʼʷ ~ limérwukʼ
v97		líwxir	UP-put	líwxir	líwilxera ~ líwirxera	líwxis	líwxʲa	liméwrixʲ ~ limérwixʲ
v98		lɨwxɨ́r	graze	lɨwxɨ́r	wɨ́xara	wɨ́xas	wɨ́xa	máwlɨx ~ málwɨx
v99		lówcʼur	UP-fill	lówcʼur	lówɨrcʼɨra	lówcʼas ~ lówcʼus	lówcʼa	lomórwicʼ
v100		lówčir	UP-hold	lówčir	láwɨrčira ~ lápčira ~ lówɨlčera	lówčis	lówče	lamápč
v101		lówɢur	UP-look	lówɢur	lówɨrɢara	lówɢas	lówɢa	lomówrɨɢ
v102		lóˁwʁur	UP-shift	lóˁwʁur	NO DATA	lečʼus	NO DATA	NO DATA
v103		lúptʼur	PV-wake_up	lúptʼur	luwúrtʼara	lúptʼas	lúptʼa	lumówrutʼ
v104		luʁúr (4)	rain.v	luʁúr (4)	huʁára (4)	húʁas (4)	húʁa (4)	máluʁ (4)
v105		lúwkur	PV-lay_down	lúwkur	luwúrkara	lúwkas	lúwka	lumowruk ~ lumáwluk
v106		lúwzur	stand1	lúwzur	luwuzara ~ lúwzara	lúwzas	lúwza	lumáwuz ~ lumárwuz
v107		méwič’ (PROH)	go_proh	NO FORM	NO FORM	NO FORM	NO FORM	méwič’
