lexeme_id	Orthography	Lexical entry	Glossing label	Perfective, Gender 3	Imperfective, Gender 3	Infinitive, Gender 3	Imperative, Gender 3	Prohibitive, Gender 3
v151		sawark’ur	PV-hew	sawark’ur	sawark’ʷur a	sawark’ʷas	sawark’ʷa	samawrɨk
v152		sawɨr	DOWN-do	sawɨr	sáwara	sawas	sáwaʔ	samawaʔ
v153		sewir	DOWN-let1	sewir	sewaχara ~ sewχara	sewis	sewi	semewi
v154		sepχɨr	slice.v	sepχɨr	sewreχara	sepχas	sepχa	semewriχ
v155		seqíp’ir	DOWN-RE-pull	seqíp’ir	seqwílera	seqípʼes	seqípʼe	seqméwliʔ
v156		sewčʼur	DOWN-move	sewčʼur	séwibčʼura	séwčʼus	séwičʼá ~ séwičʼ	seméwürčʼ ~ semépčʼ
v157		séwir	DOWN-let2	séwir	sɨ́wχara	séwis	séwij ~ sewijaʔ	samawɨχ
v158		séwšur	PV-scold	séwšur	sewibšura ~ sewibčura	sewšus	sewša	semewübš
v159		sipkɨr	PV-saw	sipkɨr	siwríkara ~ siwírkara ~ siwiĺkara ~ sípkara	sipkas	sipka	simewrik ~ simewlik ~ simewɨrk
v160		siwčíra	PV-rot	siwčíra	siwilčera ~ siwírčera	síwčes	siwčé	siméwrič
v161		siwɣɨr	be_hot	siwɣɨr	siwirɣara	síwǧas	NO DATA	NO DATA
v162		siwígɨr	PV-send	siwígɨr	siwírgara	siwígas	siwíga	simérwig
v163		siwʁír	PV-freeze	siwʁír	siwírʁera	siwʁés	siwʁé	siméwirʁ
v164		siwxir	DOWN-put	siwxir	siwilxera	siwxis	siwxe	simewrixʲ
v165		sɨwɨ́ˁrq’ɨr	PV-curdle	sɨwɨ́ˁrq’ɨr	sɨwɨ́rq’aˁra	sɨwɨ́ˁrq’aˁs	sɨwɨ́ˁrq’a	sɨmɨ́ˁwrɨq’
v166		sɨ́wχɨˁr	DOWN-beat	sɨ́wχɨˁr	sɨwɨ́rχˁara ~ sɨwɨrχˁɨra	sɨ́wχˁas	sɨ́ˁwχa	sɨmáˁwrɨχ
v167		sówʁur	DOWN-shift	sówʁur	sówubʁura	sówʁus	sówaʁ	somowʁub ~ samawʁub
v168		sówχur	PV-sleep	sówχur	sowɨ́rχara	sówχas	sówχa	somówɨrχ
v169		súbdur	PV-sieve	súbdur	súwɨrdara	súbdas	súbda	sumówlud ~ sumɨ́wɨrd
v170		subquˁr	PV-rock_cradle	subquˁr	suwulʲqaˁra ~ suˁwɨˁrqara	súˁbqas	suˁbqaˁ	sumáˁwɨˁlq
v171		súwkuraj	PV-head_for	súwkuraj	súwɨrkara	súwkas	súwka	sumówruk
v172		suwgúr	PV-be_lost	suwgúr	suwúrgara	suwgás	suwgá	sumáwrug ~ sumárwuga
v173		súwqʼur	PV-sat_down	súwqʼur	súwubqʼura ~ súwurqʼara	súwqʼas	súwqʼa	sumówurqʼ ~ sumáwruqʼ etc
v174		tʼóˁwχuˁra	PV-swell	tʼóˁwχuˁra	tʼoˁwɨrχaˁra	tʼoˁwχas	tʼóˁwχaˁ	tʼamáˁwrɨχ
v175		tʼúkur (4)	PV-spin	tʼúkur (4)	tʼúrukara (4)	tʼúkas (4)	tʼúka (4)	tʼumáruk (4)
v176		t’ǘbӡ̌ura	PV-suck	t’ǘbӡ̌ura	t’üwrüӡ̌era ~ t’üwürӡ̌era	tʼǘbǯes	tʼǘbǯe	tʼümáwričʼ
v177		t’úbq’ur	PV-burst	t’úbq’ur	t’úwulq’ara	tʼuwúpqʼas	tʼúpqʼa	tʼumárwuqʼ
v178		úbχur	PV-sneeze	úbχur	úwurχara	úbχas	úbχa	umáwɨrχ ~ umáwruχ ~ umówruχ ~ umórwuχ
v179		uˁwuχuˁr	PV-keep	uˁwuχuˁr	уӀву́ӀрхуӀра	уӀву́Ӏхас	уӀву́Ӏхва	уӀмо́ӀвруӀх
v180		wácʼɨr	know	wácʼɨr	wácʼara	wác’ɨs	wácʼa	máwɨcʼ ~ mówɨcʼ
v181		wálgɨr	talk	wálgɨr	wálgara	wálgas	wálga	mówɨlg ~ mówlɨg
v182		qawálgɨr	RE-talk	qawálgɨr	qawálgara	qawálgas	qawálga	qamáwɨlg
v183		waráˁʁɨˁr	drink	waráˁʁɨˁr	waráˁʁaˁra	waráˁʁaˁs	waráˁʁ	móˁwraˁʁ
v184		wáˁʁɨr	ask_for	wáˁʁɨr	wáˁʁara	wáˁʁas	wáˁʁa	mówáˁʁ
v185		wáˁχwarkɨr	crawl	wáˁχwarkɨr	wáˁχwarkara	wáˁχwarkas	wáˁχwarka	máˁχmaˁwrɨk
v186		wáχɨr	run	wáχɨr	wáχara	wáχas	wáχa	mówaχ ~ máwaχ
v187		wáχɨr	break	wáχɨr	wáχara	wáχas	wáχa	máwaχ ~ mówaχ
v188		wéddɨr	be_ill	wéddɨr	wéddara	wéddas	wédda	méwed
v189		weggir	copulate	weggir	weggera	wegges	wegge	meweg
v190		weréχir	deceive1	weréχir	weréχera	weréχes	weréχe	méwreχ
v191		wéšir	cry	wéšir	wéšera	wéšes	wéše	méweš
v192		wétɨr	kick	wétɨr	wétara	wétas	wéta	méwet
v193		wézɨr	milk	wézɨr	wézara	wézas	wéza	méwez
v194		wiӡ̌ír	roast	wiӡ̌ír	wiǯírǯera ~ wiӡ̌éra	wiǯés	wiǯé ~ wiǯirǯé	méwiǯ
v195		wičʼír	manage	wičʼír	wičʼéra	wičʼés	wíčʼe	míjičʼ
v196		wicʼɨ́r	melt	wicʼɨ́r	wic’ára	wic’ás	wicʼá	méwicʼ
v197		wíjir	shoot	wíjir	wɨ́χara	wíjis	wíja	máwɨχ
v198		wiqʼír	die	wiqʼír	wíqʼera	wíq’es	wiqʼe ~ wiqʼ	méwiqʼ
v199		wiríčʼir	crush	wiríčʼir	wiríčʼera	wiríčʼes	wiríčʼe	méwričʼ
v200		wírxɨr	walk	wírxɨr	wírxara	wírxas	wírxa	méwɨrx ~ méwrixʲ
v201		wírzɨr	praise	wírzɨr	wírzara	wírzas	wírza	méwirz
v202		wišír	become.PFV	wišír	NA	wɨ́kɨs	wiš	máˁwuˁʁ ~ méwiš
v203		wisɨ́r	roast_grain	wisɨ́r	wisára ~ wɨsɨ́rsara	wisás	wisá	méwis
v204		wiʔi (IPFV)	go	NO FORM	wiʔi	wurúʔus	wɨ́rɨx	máˁwuˁʁ
v205		wiχír	carry	wiχír	wíχera	wíχes	wíχeʔ	méwiχ
